Название продукта;Ссылка на продукт;Cashback;Изображение карты
СберКарта;https://www.vbr.ru/https://www.vbr.ru/banki/sberbank-rossii/kreditnyekarty/sberkarta_832bd797/;CashBackдо30%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «365 дней без %»;https://www.vbr.ru/https://www.vbr.ru/banki/al_fa-bank/kreditnyekarty/365-dnei-bez-procentov/;CashBackдо33%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта возможностей;https://www.vbr.ru/https://www.vbr.ru/banki/vtb/kreditnyekarty/karta-vozmojnostei/;CashBackдо50%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Tinkoff Drive»;https://www.vbr.ru/https://www.vbr.ru/banki/tin_koff-kreditnie-sistemi/kreditnyekarty/tinkoff-drive/;CashBackдо30%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Универсальная MTS CASHBACK»;https://www.vbr.ru/https://www.vbr.ru/banki/mts-bank/kreditnyekarty/yniversalnaya-mts-cahsback_b36094b7/;CashBackдо25%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Кредитная карта с рассрочкой All Airlines;https://www.vbr.ru/https://www.vbr.ru/banki/tin_koff-kreditnie-sistemi/kreditnyekarty/all-airlines-world/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта Халва;https://www.vbr.ru/https://www.vbr.ru/banki/sovkombank/kreditnyekarty/halva/;CashBackдо10%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «МТС Деньги Zero»;https://www.vbr.ru/https://www.vbr.ru/banki/mts-bank/kreditnyekarty/mts-dengi-zero/;CashBackдо6%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Тинькофф Платинум с рассрочкой»;https://www.vbr.ru/https://www.vbr.ru/banki/tin_koff-kreditnie-sistemi/kreditnyekarty/tin_koff-platinym/;CashBackдо30%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Удобная карта;https://www.vbr.ru/https://www.vbr.ru/banki/gazprombank/kreditnyekarty/ydobnaya-karta/;CashBackдо15%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
